Date,State,Total Individuals Vaccinated,First Dose,Second Dose,Male,Female,Transgender,Total Covaxin,Total CoviShield,Total Doses 
01/04/21,India,57443466,57443466,8918256,30321468,27115615,6383,6164245,60197476,66361722
02/04/21,India,60936753,60936753,9154083,32126426,28803529,6798,6415647,63675188,70090836
03/04/21,India,63743700,63743700,9368419,33577406,30159173,7121,6619593,66492525,73112119
04/04/21,India,66838504,66838504,9567193,35165269,31665721,7514,6880699,69524997,76405697
05/04/21,India,69620234,69620234,9819655,36559511,33052869,7854,7162657,72277231,79439889
06/04/21,India,72035640,72035640,10029697,37772299,34255180,8161,7419434,74645902,82065337
07/04/21,India,76671812,76671812,10428815,40110598,36552499,8715,7832533,79268093,87100627
08/04/21,India,80998099,80998099,10883431,42273620,38715200,9279,8167587,83713942,91881530
09/04/21,India,84296847,84296847,11286572,43929844,40357259,9744,8425992,87157426,95583419
10/04/21,India,87411872,87411872,11657482,45508111,41893575,10186,8678151,90391202,99069354
11/04/21,India,90111528,90111528,11888873,46895781,43205152,10595,8865852,93134548,102000401
12/04/21,India,93559587,93559587,12410952,48669828,44878560,11199,9117558,96852980,105970539
13/04/21,India,95823614,95823614,12774675,49885738,45926378,11498,9279181,99319107,108598289
14/04/21,India,98703696,98703696,13209592,51361929,47329847,11920,9632303,102280984,111913288
15/04/21,India,100853671,100853671,13744355,52488916,48352489,12266,9850203,104747822,114598026
16/04/21,India,102927296,102927296,14378048,53575244,49339504,12548,10178643,107126700,117305344
17/04/21,India,104950409,104950409,15020960,54647827,50289664,12918,10555424,109415944,119971369
18/04/21,India,105896430,105896430,15310668,55151208,50732172,13050,10711610,110495487,121207098
19/04/21,India,108178574,108178574,16278588,56358692,51806475,13407,11106751,113350410,124457162
20/04/21,India,110165234,110165234,17263653,57420010,52731510,13714,11515707,115913179,127428887
21/04/21,India,111673361,111673361,17972744,58217380,53441979,14002,11799916,117846188,129646105
22/04/21,India,113584269,113584269,19170339,59214377,54355513,14379,12176768,120577839,132754608
23/04/21,India,115461202,115461202,20197122,60208977,55237448,14777,12507127,123151196,135658324
24/04/21,India,117105343,117105343,21080613,61078797,56011474,15072,12775153,125410802,138185956
25/04/21,India,117795008,117795008,21390165,61442119,56337692,15197,12866845,126318327,139185173
26/04/21,India,119886252,119886252,22638695,62534884,57335805,15563,13127022,129397924,142524947
27/04/21,India,121263287,121263287,23615946,63266613,57980903,15771,13362545,131516688,144879233
28/04/21,India,122538179,122538179,24515213,63938524,58583701,15954,13636237,133417155,147053392
29/04/21,India,123811908,123811908,25456864,64611787,59183960,16161,13926050,135342722,149268772
30/04/21,India,125376952,125376952,26621155,65445771,59914751,16430,14178643,137819464,151998107
01/05/21,India,126328970,126328970,27297355,65972485,60339903,16582,14369918,139256407,153626325
02/05/21,India,126704151,126704151,27507360,66183753,60503747,16651,14417017,139794494,154211511
03/05/21,India,127696675,127696675,28385461,66737774,60942039,16862,14654260,141427876,156082136
04/05/21,India,128627919,128627919,29122833,67265833,61344881,17205,14892657,142858095,157750752
05/05/21,India,129730641,129730641,30200597,67881167,61832097,17377,15127348,144803890,159931238
06/05/21,India,131058890,131058890,31544713,68616643,62424602,17645,15424914,147178689,162603603
07/05/21,India,132294827,132294827,32895173,69304346,62972623,17858,15761911,149428089,165190000
08/05/21,India,133366482,133366482,34127375,69899266,63449164,18052,16195122,151298735,167493857
09/05/21,India,133854676,133854676,34450192,70186220,63650307,18149,16321015,151983853,168304868
10/05/21,India,135192013,135192013,35906905,70948079,64225501,18433,16727082,154371836,171098918
11/05/21,India,136557345,136557345,37305298,71722365,64816275,18705,17081853,156780790,173862643
12/05/21,India,137805245,137805245,38240332,72431855,65354414,18976,17459811,158585766,176045577
13/05/21,India,139087590,139087590,39274256,73161834,65906538,19218,17840229,160521617,178361846
14/05/21,India,139861462,139861462,39784951,73607113,66234957,19392,18087664,161558739,179646413
15/05/21,India,141132112,141132112,40412424,74324379,66787921,19812,18535310,163009216,